timestamp,log_type,message,stacktrace
10.53183,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
10.53183,Log,Session start time 10/10/2022 4:49:43 PM,
10.53183,Log,Application Version : 1.0.0,
10.53183,Log,Platform used is UNITY_STANDALONE_WIN,
17.72592,Log,Confirm button clicked.,
17.72592,Log,Next trial started.,
23.28396,Log,Confirm button clicked.,
23.28396,Log,Next trial started.,
29.31527,Log,Confirm button clicked.,
29.31527,Log,Next trial started.,
40.41155,Log,Confirm button clicked.,
40.41155,Log,Next trial started.,
58.45943,Log,Confirm button clicked.,
58.45943,Log,Next trial started.,
63.27694,Log,Confirm button clicked.,
63.27694,Log,Next trial started.,
69.70856,Log,Confirm button clicked.,
69.70856,Log,Next trial started.,
75.54406,Log,Confirm button clicked.,
75.54406,Log,Next trial started.,
82.25333,Log,Confirm button clicked.,
